Education_Level,Gender,Field_of_Study,Domestic_or_International,Work_Status,Education_Mode,Online_Courses_Last_Year,Online_Influence_Factors,Offline_Influence_Factors,Online_Effectiveness,Online_Challenges,Online_Student_Engagement,Online_Material_Satisfaction,Online_Collaboration,Offline_Benefits,Offline_Resources_Satisfaction,Offline_Classroom_Engagement,Offline_Motivation,Better_Grades_Mode,Job_Preparation_Mode
Graduate,Male,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Availability of courses","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",2,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Doubts remain unclear",Never,Unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Satisfied,Excellent,Agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),No,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Sometimes,Very unsatisfied,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very unsatisfied,Very poor,Strongly disagree,Online,Offline
Graduate,Male,Engineering,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",4,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Never,Neutral,Yes,"Better interaction with instructors, Doubt clarity",Very satisfied,Good,Agree,Online,Offline
Graduate,Female,Science,Foreign (International) student,Part-time,Offline (In-person),No,Flexibility in schedule,"Quality of education, Face-to-face interaction with instructors and peers",1,"Lack of interaction with peers, Difficulty staying motivated",Never,Unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Female,Engineering,Foreign (International) student,Not working,Offline (In-person),No,"Flexibility in schedule, Convenience of location, Availability of courses","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",4,"Lack of interaction with peers, Lack of access to course materials, Doubts remain unclear",Never,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Female,Engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Quality of education, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),Yes,Availability of courses,"Convenience of location, Quality of education, Face-to-face interaction with instructors and peers",2,Some courses have to be in person ,Rarely,Very unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Very satisfied,Excellent,Strongly agree,Offline,Online
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),No,"Cost, Avoiding travel/commute time","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",2,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Online
Graduate,Female,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",4,"Poor internet connection, Technical difficulties",Sometimes,Neutral,Yes,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Satisfied,Average,Agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",2,Doubts remain unclear,Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule, Doubt clarity",Neutral,Good,Agree,Offline,Offline
Undergraduate,Male,Engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,"Quality of education, Avoiding travel/commute time","Cost, Convenience of location, Availability of courses",4,"Difficulty staying motivated, Doubts remain unclear",Rarely,Neutral,Yes,"Better interaction with instructors, More engaging learning environment, Doubt clarity",Neutral,Poor,Agree,Offline,Online
Graduate,Female,Information & Technology,Foreign (International) student,Full-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",2,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Rarely,Unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Neutral,Average,Agree,Offline,Offline
High School,Male,Engineering,Foreign (International) student,Part-time,Online,Yes,Flexibility in schedule,Flexibility in schedule,1,Lack of access to course materials,Rarely,Satisfied,Yes,More engaging learning environment,Very satisfied,Excellent,Strongly agree,Online,Online
Graduate,Female,Information & Technology,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Cost, Quality of education, Availability of courses","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",4,"Lack of interaction with peers, Difficulty staying motivated",Very often,Neutral,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Neutral,Good,Agree,Offline,Online
Graduate,Female,Law,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
